time,lat,lon,sst,chlor_a,depth,water_u,water_v,current_speed,fish_presence
2020-01-01,5.1,79.1,28.42,0.167388,0,-0.456,-0.001,0.4560010964899098,0
2020-01-01,5.1,79.1,28.42,0.167388,0,-0.478,-0.028,0.47881938139553204,0
2020-01-01,5.1,79.1,28.42,0.167388,0,-0.455,-0.008,0.45507032423571636,0
2020-01-01,5.1,79.1,28.42,0.167388,0,-0.482,0.009,0.4820840175737005,0
2020-01-01,5.1,79.1,28.42,0.167388,0,-0.458,0.028,0.45885509695327564,0
2020-01-01,5.1,79.1,28.42,0.182235,0,-0.491,-0.021,0.4914488783179793,0
2020-01-01,5.1,79.1,28.42,0.182235,0,-0.461,-0.003,0.46100976128494286,0
2020-01-01,5.1,79.1,28.42,0.182235,0,-0.482,-0.027,0.48275563176414626,0
2020-01-01,5.1,79.1,28.42,0.182235,0,-0.456,-0.001,0.4560010964899098,0
2020-01-01,5.1,79.1,28.42,0.182235,0,-0.478,-0.028,0.47881938139553204,0
2020-01-01,5.1,79.1,28.42,0.182235,0,-0.455,-0.008,0.45507032423571636,0
2020-01-01,5.1,79.1,28.42,0.182235,0,-0.482,0.009,0.4820840175737005,0
2020-01-01,5.1,79.1,28.42,0.182235,0,-0.458,0.028,0.45885509695327564,0
2020-01-01,5.1,79.4,28.37,0.177055,0,-0.511,-0.052,0.513638978271704,0
2020-01-01,5.1,79.4,28.37,0.177055,0,-0.515,-0.058,0.5182557283812693,0
2020-01-01,5.1,79.4,28.37,0.177055,0,-0.495,-0.035,0.4962358310319802,0
2020-01-01,5.1,79.4,28.37,0.177055,0,-0.5,-0.043,0.501845593783586,0
2020-01-01,5.1,79.4,28.37,0.177055,0,-0.505,-0.045,0.5070009861923347,0
2020-01-01,5.1,79.4,28.37,0.177055,0,-0.509,-0.037,0.5103430218980172,0
2020-01-01,5.1,79.4,28.37,0.177055,0,-0.486,-0.021,0.4864534921243756,0
2020-01-01,5.1,79.4,28.37,0.177055,0,-0.488,-0.017,0.4882960167767089,0
2020-01-01,5.1,79.4,28.37,0.177055,0,-0.539,-0.024,0.539534058239144,0
2020-01-01,5.1,79.4,28.37,0.177055,0,-0.541,-0.008,0.5410591464895498,0
2020-01-01,5.1,79.4,28.37,0.177055,0,-0.515,-0.006,0.5150349502703675,0
2020-01-01,5.1,79.4,28.37,0.177055,0,-0.516,0.009,0.5160784824035972,0
2020-01-01,5.1,79.4,28.37,0.177055,0,-0.525,-0.004,0.5250152378741021,0
2020-01-01,5.1,79.4,28.37,0.177055,0,-0.52,-0.012,0.5201384431091399,0
2020-01-01,5.1,79.4,28.37,0.177055,0,-0.512,0.014,0.5121913704856809,0
2020-01-01,5.1,79.4,28.37,0.177055,0,-0.504,0.012,0.5041428369024001,0
2020-01-01,5.1,79.4,28.37,0.178837,0,-0.511,-0.052,0.513638978271704,0
2020-01-01,5.1,79.4,28.37,0.178837,0,-0.515,-0.058,0.5182557283812693,0
2020-01-01,5.1,79.4,28.37,0.178837,0,-0.495,-0.035,0.4962358310319802,0
2020-01-01,5.1,79.4,28.37,0.178837,0,-0.5,-0.043,0.501845593783586,0
2020-01-01,5.1,79.4,28.37,0.178837,0,-0.505,-0.045,0.5070009861923347,0
2020-01-01,5.1,79.4,28.37,0.178837,0,-0.509,-0.037,0.5103430218980172,0
2020-01-01,5.1,79.4,28.37,0.178837,0,-0.486,-0.021,0.4864534921243756,0
2020-01-01,5.1,79.4,28.37,0.178837,0,-0.488,-0.017,0.4882960167767089,0
2020-01-01,5.1,79.4,28.37,0.178837,0,-0.539,-0.024,0.539534058239144,0
2020-01-01,5.1,79.4,28.37,0.178837,0,-0.541,-0.008,0.5410591464895498,0
2020-01-01,5.1,79.4,28.37,0.178837,0,-0.515,-0.006,0.5150349502703675,0
2020-01-01,5.1,79.4,28.37,0.178837,0,-0.516,0.009,0.5160784824035972,0
2020-01-01,5.1,79.4,28.37,0.178837,0,-0.525,-0.004,0.5250152378741021,0
2020-01-01,5.1,79.4,28.37,0.178837,0,-0.52,-0.012,0.5201384431091399,0
2020-01-01,5.1,79.4,28.37,0.178837,0,-0.512,0.014,0.5121913704856809,0
2020-01-01,5.1,79.4,28.37,0.178837,0,-0.504,0.012,0.5041428369024001,0
2020-01-01,5.1,79.4,28.37,0.180684,0,-0.511,-0.052,0.513638978271704,0
2020-01-01,5.1,79.4,28.37,0.180684,0,-0.515,-0.058,0.5182557283812693,0
2020-01-01,5.1,79.4,28.37,0.180684,0,-0.495,-0.035,0.4962358310319802,0
2020-01-01,5.1,79.4,28.37,0.180684,0,-0.5,-0.043,0.501845593783586,0
2020-01-01,5.1,79.4,28.37,0.180684,0,-0.505,-0.045,0.5070009861923347,0
2020-01-01,5.1,79.4,28.37,0.180684,0,-0.509,-0.037,0.5103430218980172,0
2020-01-01,5.1,79.4,28.37,0.180684,0,-0.486,-0.021,0.4864534921243756,0
2020-01-01,5.1,79.4,28.37,0.180684,0,-0.488,-0.017,0.4882960167767089,0
2020-01-01,5.1,79.4,28.37,0.180684,0,-0.539,-0.024,0.539534058239144,0
2020-01-01,5.1,79.4,28.37,0.180684,0,-0.541,-0.008,0.5410591464895498,0
2020-01-01,5.1,79.4,28.37,0.180684,0,-0.515,-0.006,0.5150349502703675,0
2020-01-01,5.1,79.4,28.37,0.180684,0,-0.516,0.009,0.5160784824035972,0
2020-01-01,5.1,79.4,28.37,0.180684,0,-0.525,-0.004,0.5250152378741021,0
2020-01-01,5.1,79.4,28.37,0.180684,0,-0.52,-0.012,0.5201384431091399,0
2020-01-01,5.1,79.4,28.37,0.180684,0,-0.512,0.014,0.5121913704856809,0
2020-01-01,5.1,79.4,28.37,0.180684,0,-0.504,0.012,0.5041428369024001,0
2020-01-01,5.1,79.4,28.37,0.19355,0,-0.511,-0.052,0.513638978271704,0
2020-01-01,5.1,79.4,28.37,0.19355,0,-0.515,-0.058,0.5182557283812693,0
2020-01-01,5.1,79.4,28.37,0.19355,0,-0.495,-0.035,0.4962358310319802,0
2020-01-01,5.1,79.4,28.37,0.19355,0,-0.5,-0.043,0.501845593783586,0
2020-01-01,5.1,79.4,28.37,0.19355,0,-0.505,-0.045,0.5070009861923347,0
2020-01-01,5.1,79.4,28.37,0.19355,0,-0.509,-0.037,0.5103430218980172,0
2020-01-01,5.1,79.4,28.37,0.19355,0,-0.486,-0.021,0.4864534921243756,0
2020-01-01,5.1,79.4,28.37,0.19355,0,-0.488,-0.017,0.4882960167767089,0
2020-01-01,5.1,79.4,28.37,0.19355,0,-0.539,-0.024,0.539534058239144,0
2020-01-01,5.1,79.4,28.37,0.19355,0,-0.541,-0.008,0.5410591464895498,0
2020-01-01,5.1,79.4,28.37,0.19355,0,-0.515,-0.006,0.5150349502703675,0
2020-01-01,5.1,79.4,28.37,0.19355,0,-0.516,0.009,0.5160784824035972,0
2020-01-01,5.1,79.4,28.37,0.19355,0,-0.525,-0.004,0.5250152378741021,0
2020-01-01,5.1,79.4,28.37,0.19355,0,-0.52,-0.012,0.5201384431091399,0
2020-01-01,5.1,79.4,28.37,0.19355,0,-0.512,0.014,0.5121913704856809,0
2020-01-01,5.1,79.4,28.37,0.19355,0,-0.504,0.012,0.5041428369024001,0
2020-01-01,5.1,79.4,28.37,0.178919,0,-0.511,-0.052,0.513638978271704,0
2020-01-01,5.1,79.4,28.37,0.178919,0,-0.515,-0.058,0.5182557283812693,0
2020-01-01,5.1,79.4,28.37,0.178919,0,-0.495,-0.035,0.4962358310319802,0
2020-01-01,5.1,79.4,28.37,0.178919,0,-0.5,-0.043,0.501845593783586,0
2020-01-01,5.1,79.4,28.37,0.178919,0,-0.505,-0.045,0.5070009861923347,0
2020-01-01,5.1,79.4,28.37,0.178919,0,-0.509,-0.037,0.5103430218980172,0
2020-01-01,5.1,79.4,28.37,0.178919,0,-0.486,-0.021,0.4864534921243756,0
2020-01-01,5.1,79.4,28.37,0.178919,0,-0.488,-0.017,0.4882960167767089,0
2020-01-01,5.1,79.4,28.37,0.178919,0,-0.539,-0.024,0.539534058239144,0
2020-01-01,5.1,79.4,28.37,0.178919,0,-0.541,-0.008,0.5410591464895498,0
2020-01-01,5.1,79.4,28.37,0.178919,0,-0.515,-0.006,0.5150349502703675,0
2020-01-01,5.1,79.4,28.37,0.178919,0,-0.516,0.009,0.5160784824035972,0
2020-01-01,5.1,79.4,28.37,0.178919,0,-0.525,-0.004,0.5250152378741021,0
2020-01-01,5.1,79.4,28.37,0.178919,0,-0.52,-0.012,0.5201384431091399,0
2020-01-01,5.1,79.4,28.37,0.178919,0,-0.512,0.014,0.5121913704856809,0
2020-01-01,5.1,79.4,28.37,0.178919,0,-0.504,0.012,0.5041428369024001,0
2020-01-01,5.1,79.4,28.37,0.184284,0,-0.511,-0.052,0.513638978271704,0
2020-01-01,5.1,79.4,28.37,0.184284,0,-0.515,-0.058,0.5182557283812693,0
2020-01-01,5.1,79.4,28.37,0.184284,0,-0.495,-0.035,0.4962358310319802,0
2020-01-01,5.1,79.4,28.37,0.184284,0,-0.5,-0.043,0.501845593783586,0
2020-01-01,5.1,79.4,28.37,0.184284,0,-0.505,-0.045,0.5070009861923347,0
2020-01-01,5.1,79.4,28.37,0.184284,0,-0.509,-0.037,0.5103430218980172,0
2020-01-01,5.1,79.4,28.37,0.184284,0,-0.486,-0.021,0.4864534921243756,0
2020-01-01,5.1,79.4,28.37,0.184284,0,-0.488,-0.017,0.4882960167767089,0
2020-01-01,5.1,79.4,28.37,0.184284,0,-0.539,-0.024,0.539534058239144,0
2020-01-01,5.1,79.4,28.37,0.184284,0,-0.541,-0.008,0.5410591464895498,0
2020-01-01,5.1,79.4,28.37,0.184284,0,-0.515,-0.006,0.5150349502703675,0
2020-01-01,5.1,79.4,28.37,0.184284,0,-0.516,0.009,0.5160784824035972,0
2020-01-01,5.1,79.4,28.37,0.184284,0,-0.525,-0.004,0.5250152378741021,0
2020-01-01,5.1,79.4,28.37,0.184284,0,-0.52,-0.012,0.5201384431091399,0
2020-01-01,5.1,79.4,28.37,0.184284,0,-0.512,0.014,0.5121913704856809,0
2020-01-01,5.1,79.4,28.37,0.184284,0,-0.504,0.012,0.5041428369024001,0
2020-01-01,5.1,79.4,28.37,0.187643,0,-0.511,-0.052,0.513638978271704,0
2020-01-01,5.1,79.4,28.37,0.187643,0,-0.515,-0.058,0.5182557283812693,0
2020-01-01,5.1,79.4,28.37,0.187643,0,-0.495,-0.035,0.4962358310319802,0
2020-01-01,5.1,79.4,28.37,0.187643,0,-0.5,-0.043,0.501845593783586,0
2020-01-01,5.1,79.4,28.37,0.187643,0,-0.505,-0.045,0.5070009861923347,0
2020-01-01,5.1,79.4,28.37,0.187643,0,-0.509,-0.037,0.5103430218980172,0
2020-01-01,5.1,79.4,28.37,0.187643,0,-0.486,-0.021,0.4864534921243756,0
2020-01-01,5.1,79.4,28.37,0.187643,0,-0.488,-0.017,0.4882960167767089,0
2020-01-01,5.1,79.4,28.37,0.187643,0,-0.539,-0.024,0.539534058239144,0
2020-01-01,5.1,79.4,28.37,0.187643,0,-0.541,-0.008,0.5410591464895498,0
2020-01-01,5.1,79.4,28.37,0.187643,0,-0.515,-0.006,0.5150349502703675,0
2020-01-01,5.1,79.4,28.37,0.187643,0,-0.516,0.009,0.5160784824035972,0
2020-01-01,5.1,79.4,28.37,0.187643,0,-0.525,-0.004,0.5250152378741021,0
2020-01-01,5.1,79.4,28.37,0.187643,0,-0.52,-0.012,0.5201384431091399,0
2020-01-01,5.1,79.4,28.37,0.187643,0,-0.512,0.014,0.5121913704856809,0
2020-01-01,5.1,79.4,28.37,0.187643,0,-0.504,0.012,0.5041428369024001,0
2020-01-01,5.1,79.4,28.37,0.183596,0,-0.511,-0.052,0.513638978271704,0
2020-01-01,5.1,79.4,28.37,0.183596,0,-0.515,-0.058,0.5182557283812693,0
2020-01-01,5.1,79.4,28.37,0.183596,0,-0.495,-0.035,0.4962358310319802,0
2020-01-01,5.1,79.4,28.37,0.183596,0,-0.5,-0.043,0.501845593783586,0
2020-01-01,5.1,79.4,28.37,0.183596,0,-0.505,-0.045,0.5070009861923347,0
2020-01-01,5.1,79.4,28.37,0.183596,0,-0.509,-0.037,0.5103430218980172,0
2020-01-01,5.1,79.4,28.37,0.183596,0,-0.486,-0.021,0.4864534921243756,0
2020-01-01,5.1,79.4,28.37,0.183596,0,-0.488,-0.017,0.4882960167767089,0
2020-01-01,5.1,79.4,28.37,0.183596,0,-0.539,-0.024,0.539534058239144,0
2020-01-01,5.1,79.4,28.37,0.183596,0,-0.541,-0.008,0.5410591464895498,0
